P20536	4OD8
Q6AZY7	AF-Q6AZY7-F1
P77044	1U2E
Q1EBV7	AF-Q1EBV7-F1
A0A193H396	AF-A0A193H396-F1
P57075	2CRN
O22779	AF-O22779-F1
P57790	AF-P57790-F1
Q9Z288	AF-Q9Z288-F1
P0C8Q8	AF-P0C8Q8-F1
P42752	AF-P42752-F1
P13982	8CRV
Q07699	6AGF
Q96EY9	AF-Q96EY9-F1
P13236	1HUM
Q12415	2YN0
Q3E8Y7	AF-Q3E8Y7-F1
P00358	AF-P00358-F1
Q54WU6	AF-Q54WU6-F1
O14313	AF-O14313-F1
O74767	AF-O74767-F1
Q9DBH5	AF-Q9DBH5-F1
Q9VCC0	AF-Q9VCC0-F1
P01096	1GMJ
Q8BUN5	AF-Q8BUN5-F1
P29017	3OV6
Q03337	3CUE
P07582	UnFound
Q96R06	AF-Q96R06-F1
P39994	AF-P39994-F1
Q9Z0X4	AF-Q9Z0X4-F1
O54943	3GDI
O50456	AF-O50456-F1
Q6NPT7	AF-Q6NPT7-F1
Q9UKR3	AF-Q9UKR3-F1
P13231	1HCD
Q6P2D0	AF-Q6P2D0-F1
Q6S001	AF-Q6S001-F1
Q52T38	AF-Q52T38-F1
Q01249	AF-Q01249-F1
P98175	2LXI
P29276	AF-P29276-F1
Q4QAU9	6MSO
Q8IYX1	AF-Q8IYX1-F1
P33136	1TXK
P25090	6LW5
Q3UZZ6	2ZPT
Q5AIA1	AF-Q5AIA1-F1
Q9M1B4	AF-Q9M1B4-F1
P31385	8GA8
Q6ENJ3	AF-Q6ENJ3-F1
P38286	AF-P38286-F1
P26373	4UG0
Q8IYU4	AF-Q8IYU4-F1
O51147	AF-O51147-F1
Q8CIR4	AF-Q8CIR4-F1
Q924A0	AF-Q924A0-F1
P32139	AF-P32139-F1
O75643	2Q0Z
Q8NEY3	AF-Q8NEY3-F1
O14275	AF-O14275-F1
Q9WVI9	1UKH
P22241	AF-P22241-F1
O43070	3HUE
Q9VC35	AF-Q9VC35-F1
Q9WVJ4	AF-Q9WVJ4-F1
P01165	AF-P01165-F1
Q42112	AF-Q42112-F1
P61847	AF-P61847-F1
Q66HH2	AF-Q66HH2-F1
Q6N075	AF-Q6N075-F1
O81007	AF-O81007-F1
P00939	1R2R
F4J339	AF-F4J339-F1
Q9ESX5	AF-Q9ESX5-F1
Q9M3H5	AF-Q9M3H5-F1
I1WVY3	4G6V
P53157	AF-P53157-F1
O13986	AF-O13986-F1
Q4H4B6	AF-Q4H4B6-F1
P30300	AF-P30300-F1
Q92887	AF-Q92887-F1
Q8IV04	AF-Q8IV04-F1
P53962	AF-P53962-F1
P69682	AF-P69682-F1
P91679	AF-P91679-F1
P87128	AF-P87128-F1
Q9D3P9	AF-Q9D3P9-F1
P0AGH3	AF-P0AGH3-F1
P78854	AF-P78854-F1
Q9VTE2	AF-Q9VTE2-F1
F4K6X0	AF-F4K6X0-F1
P52758	1ONI
P61022	AF-P61022-F1
O70461	AF-O70461-F1
P56484	AF-P56484-F1
P04620	UnFound
Q9DCZ4	AF-Q9DCZ4-F1
O49841	AF-O49841-F1
H1A988	AF-H1A988-F1
P9WF15	AF-P9WF15-F1
Q680K8	AF-Q680K8-F1
O74412	AF-O74412-F1
O24174	AF-O24174-F1
Q058G9	AF-Q058G9-F1
Q5BP74	AF-Q5BP74-F1
Q62737	AF-Q62737-F1
A0A6G9KJK9	AF-A0A6G9KJK9-F1
Q564A5	AF-Q564A5-F1
Q9P7L7	AF-Q9P7L7-F1
Q7TQN9	AF-Q7TQN9-F1
Q98TA4	AF-Q98TA4-F1
D3ZQG6	AF-D3ZQG6-F1
Q9MAH1	AF-Q9MAH1-F1
Q9P5N1	AF-Q9P5N1-F1
Q9NZ01	2DZJ
Q04616	AF-Q04616-F1
Q9P0U1	7CK6
D0X4R4	4GGH
P11531	UnFound
P0AGM2	AF-P0AGM2-F1
Q9U1H0	AF-Q9U1H0-F1
G2HK15	AF-G2HK15-F1
Q54RA8	AF-Q54RA8-F1
Q61096	AF-Q61096-F1
P12114	AF-P12114-F1
P35198	AF-P35198-F1
O22216	AF-O22216-F1
Q23256	AF-Q23256-F1
Q3ZCI9	3IYG
Q9Y5B9	4Z2M
Q94890	AF-Q94890-F1
Q39152	AF-Q39152-F1
P08010	1B4P
P62888	3VI6
Q8NI77	3LRE
Q9LZ39	AF-Q9LZ39-F1
Q9FF86	AF-Q9FF86-F1
Q8GW19	AF-Q8GW19-F1
P19939	AF-P19939-F1
P22692	1WQJ
Q3YK19	AF-Q3YK19-F1
P60390	3TKA
Q8VYJ7	AF-Q8VYJ7-F1
Q8LGN0	AF-Q8LGN0-F1
P05506	AF-P05506-F1
P52554	AF-P52554-F1
Q8WWV6	AF-Q8WWV6-F1
P80318	1GML
P56751	7WFF
Q9FFC7	AF-Q9FFC7-F1
Q8IDR3	4AOM
Q03763	AF-Q03763-F1
P15648	AF-P15648-F1
Q5HYI7	AF-Q5HYI7-F1
Q3U1T9	AF-Q3U1T9-F1
Q5K4R0	AF-Q5K4R0-F1
Q12552	AF-Q12552-F1
P0ADR0	AF-P0ADR0-F1
P43583	4V7O
Q9QXZ6	AF-Q9QXZ6-F1
P25942	1CZZ
B4FK49	1VYA
F4IAX1	AF-F4IAX1-F1
P42696	AF-P42696-F1
O60271	2W83
Q9M2B4	5YC3
P38824	AF-P38824-F1
A2ANU3	AF-A2ANU3-F1
P28239	AF-P28239-F1
P32521	AF-P32521-F1
P39523	6LP3
P29391	1H96
O93661	UnFound
Q9NQL9	AF-Q9NQL9-F1
A0A286LEZ8	AF-A0A286LEZ8-F1
Q3U435	AF-Q3U435-F1
O95429	1M62
Q9C670	AF-Q9C670-F1
Q9P7G9	AF-Q9P7G9-F1
Q61194	2B3R
Q8IWW8	AF-Q8IWW8-F1
Q9ATM6	AF-Q9ATM6-F1
F1T156	AF-F1T156-F1
B0M3E8	AF-B0M3E8-F1
E9Q557	UnFound
O14114	6JPQ
Q8RWM6	AF-Q8RWM6-F1
P9WLI7	AF-P9WLI7-F1
Q676U5	4GDK
Q9FN93	AF-Q9FN93-F1
Q9T1W1	UnFound
Q9M131	AF-Q9M131-F1
P27467	AF-P27467-F1
Q9DEI1	UnFound
Q9UBR5	AF-Q9UBR5-F1
Q99JI6	AF-Q99JI6-F1
Q8N5I3	AF-Q8N5I3-F1
P42768	1CEE
O29537	1TJN
Q8GW46	AF-Q8GW46-F1
Q9SY88	AF-Q9SY88-F1
Q8N8Y2	AF-Q8N8Y2-F1
Q9D3H0	AF-Q9D3H0-F1
O15016	6IET
Q641A1	AF-Q641A1-F1
Q9I3S3	3NIO
Q9USX4	AF-Q9USX4-F1
Q08746	3JCT
Q9C448	AF-Q9C448-F1
P13224	3REZ
Q9FY60	AF-Q9FY60-F1
O35274	2G5M
Q62383	AF-Q62383-F1
P17362	UnFound
P31276	AF-P31276-F1
Q6PAW2	AF-Q6PAW2-F1
Q6QGD4	UnFound
P41137	AF-P41137-F1
Q7XTB2	AF-Q7XTB2-F1
P05704	AF-P05704-F1
O14361	AF-O14361-F1
O13977	AF-O13977-F1
P29356	AF-P29356-F1
P58269	AF-P58269-F1
P14789	3IT5
P23830	AF-P23830-F1
Q8RXK6	AF-Q8RXK6-F1
Q9H5U6	6UCA
O13733	AF-O13733-F1
Q96KN7	4QAM
P19492	3DLN
Q0P6D6	AF-Q0P6D6-F1
Q9H6X4	AF-Q9H6X4-F1
Q9ZUZ6	AF-Q9ZUZ6-F1
Q54YU6	AF-Q54YU6-F1
P10518	2Z0I
P0A927	1TLW
P21730	5O9H
P9WLL1	AF-P9WLL1-F1
O89053	2AKF
Q3UY90	AF-Q3UY90-F1
Q9Y2J2	2HE7
P0A6J1	AF-P0A6J1-F1
P50114	AF-P50114-F1
Q9LTX3	AF-Q9LTX3-F1
Q06139	AF-Q06139-F1
Q550Q4	AF-Q550Q4-F1
P25814	1A6F
Q2HXK8	AF-Q2HXK8-F1
Q9CA42	AF-Q9CA42-F1
Q9ZSP5	AF-Q9ZSP5-F1
P13234	AF-P13234-F1
Q8IZC4	AF-Q8IZC4-F1
O22793	5YDG
Q5HYL7	AF-Q5HYL7-F1
Q9FND4	AF-Q9FND4-F1
O23076	AF-O23076-F1
O54753	AF-O54753-F1
C0HLT8	AF-C0HLT8-F1
P10600	1KTZ
Q921F2	3D2W
O43035	AF-O43035-F1
Q9LR78	AF-Q9LR78-F1
Q6PFY8	AF-Q6PFY8-F1
P09631	1PUF
Q9WUQ1	AF-Q9WUQ1-F1
Q43316	4HTG
P53723	AF-P53723-F1
O77438	AF-O77438-F1
Q9Z1Q9	AF-Q9Z1Q9-F1
Q9ULQ1	AF-Q9ULQ1-F1
P15431	6DW0
Q9M0J5	AF-Q9M0J5-F1
Q99675	2EA5
P21275	AF-P21275-F1
P38319	1Q32
Q5EIC4	AF-Q5EIC4-F1
G2TRL7	AF-G2TRL7-F1
Q54F23	AF-Q54F23-F1
Q8TEB1	AF-Q8TEB1-F1
O84467	AF-O84467-F1
P34927	AF-P34927-F1
Q9LU63	AF-Q9LU63-F1
P11717	1E6F
Q9Z2D3	AF-Q9Z2D3-F1
O60055	AF-O60055-F1
P56277	1EI0
P13838	AF-P13838-F1
Q23647	AF-Q23647-F1
Q54C92	AF-Q54C92-F1
P48163	2AW5
P18408	2OQ2
Q9NY56	4RUN
P14741	6I3M
P83887	AF-P83887-F1
Q86YR5	AF-Q86YR5-F1
P11277	1S35
P08200	1AI2
P15380	AF-P15380-F1
Q9UUG2	AF-Q9UUG2-F1
Q17800	AF-Q17800-F1
Q8IWB7	AF-Q8IWB7-F1
Q0JFH7	AF-Q0JFH7-F1
O02766	AF-O02766-F1
O76050	AF-O76050-F1
P42453	AF-P42453-F1
P62830	6SWA
P21170	3NZQ
Q9HAW4	7AKO
O23264	AF-O23264-F1
Q7JYV2	AF-Q7JYV2-F1
Q9SF55	AF-Q9SF55-F1
Q6I7R3	AF-Q6I7R3-F1
P0ADY1	2KGJ
Q70AK3	AF-Q70AK3-F1
Q8ILT4	AF-Q8ILT4-F1
Q9JI51	2NPS
Q5TKA1	6C48
P23447	AF-P23447-F1
O35445	AF-O35445-F1
Q66HD0	AF-Q66HD0-F1
Q6PII3	AF-Q6PII3-F1
Q9FMI7	AF-Q9FMI7-F1
Q8JG70	AF-Q8JG70-F1
P04982	AF-P04982-F1
Q06062	6CZT
P9WPT3	AF-P9WPT3-F1
P0AFI9	AF-P0AFI9-F1
Q96IK5	AF-Q96IK5-F1
P9WJE3	AF-P9WJE3-F1
Q6QGD8	5TJT
P9WHA5	5V7Q
F4KF16	AF-F4KF16-F1
P23634	1CFF
Q8TC84	AF-Q8TC84-F1
P80020	AF-P80020-F1
Q96C92	AF-Q96C92-F1
Q9NX45	AF-Q9NX45-F1
P0ABX2	AF-P0ABX2-F1
P0AC55	1GNK
O13695	AF-O13695-F1
A5F5X1	7XK3
Q01881	AF-Q01881-F1
P0C388	AF-P0C388-F1
P15822	1BBO
A3KPF8	AF-A3KPF8-F1
P0C338	AF-P0C338-F1
Q9GYH7	AF-Q9GYH7-F1
P00741	1J34
Q9SW80	AF-Q9SW80-F1
Q1PE15	AF-Q1PE15-F1
P06525	4RQT
Q64331	2KIA
Q96EI5	AF-Q96EI5-F1
Q17569	AF-Q17569-F1
O14197	AF-O14197-F1
P84140	1J3P
L7X3S1	AF-L7X3S1-F1
O35431	3SUZ
Q966L3	AF-Q966L3-F1
Q9H211	2LE8
Q9TVQ5	AF-Q9TVQ5-F1
Q9SIU0	AF-Q9SIU0-F1
P53218	3IAB
Q92966	7XUR
P23485	AF-P23485-F1
Q14587	2EL4
Q9ULE3	AF-Q9ULE3-F1
P09486	1BMO
Q09066	4HI0
O57604	AF-O57604-F1
P46672	2HQT
P52483	AF-P52483-F1
Q9VYY9	AF-Q9VYY9-F1
O88853	AF-O88853-F1
P14647	3AGP
Q02326	3J6X
Q6FJH4	AF-Q6FJH4-F1
P48774	AF-P48774-F1
Q9XIB5	AF-Q9XIB5-F1
O00167	3GEB
P75780	6BPM
Q8BRJ3	AF-Q8BRJ3-F1
Q9LI74	AF-Q9LI74-F1
Q10093	AF-Q10093-F1
O88811	1UJ0
P35232	AF-P35232-F1
P24720	AF-P24720-F1
Q9NY28	AF-Q9NY28-F1
Q6PDK2	UnFound
G9LZD7	AF-G9LZD7-F1
P05370	AF-P05370-F1
P25070	AF-P25070-F1
P04961	AF-P04961-F1
Q9ZSK2	AF-Q9ZSK2-F1
M1RNJ8	AF-M1RNJ8-F1
Q9LKG8	AF-Q9LKG8-F1
P75859	AF-P75859-F1
P84076	AF-P84076-F1
P21189	1Q8I
P24393	AF-P24393-F1
O54724	4QKV
Q84TE6	AF-Q84TE6-F1
Q2T9Q6	7RRO
Q5SSW2	AF-Q5SSW2-F1
Q6PJT7	AF-Q6PJT7-F1
A0A1X9PY88	AF-A0A1X9PY88-F1
Q8BXN7	AF-Q8BXN7-F1
Q9BXL6	AF-Q9BXL6-F1
O43052	AF-O43052-F1
Q9UQX0	AF-Q9UQX0-F1
P48059	1G47
Q9BWT3	4LT6
Q6AVI1	AF-Q6AVI1-F1
Q9WTV8	AF-Q9WTV8-F1
Q10S82	AF-Q10S82-F1
P43364	6WJH
Q8BH97	AF-Q8BH97-F1
Q6IZB5	AF-Q6IZB5-F1
Q9I6J1	3TTK
P69974	AF-P69974-F1
O75874	1T09
P38927	6V8P
Q8N6M8	AF-Q8N6M8-F1
P10563	AF-P10563-F1
P03872	AF-P03872-F1
Q8VIM4	AF-Q8VIM4-F1
Q9SMM9	AF-Q9SMM9-F1
Q8CG70	AF-Q8CG70-F1
Q9UAS6	AF-Q9UAS6-F1
P50904	AF-P50904-F1
Q9SIY8	AF-Q9SIY8-F1
Q9Y623	AF-Q9Y623-F1
P27779	AF-P27779-F1
Q9FF29	AF-Q9FF29-F1
Q55GS2	AF-Q55GS2-F1
Q6UVM4	AF-Q6UVM4-F1
Q8JZX4	AF-Q8JZX4-F1
Q3E705	AF-Q3E705-F1
O14299	AF-O14299-F1
Q8JFY9	2C1W
Q7LL04	AF-Q7LL04-F1
Q8N5U6	AF-Q8N5U6-F1
Q9M2J7	AF-Q9M2J7-F1
P55228	AF-P55228-F1
Q54F44	AF-Q54F44-F1
Q9STE8	5UAY
Q708S8	AF-Q708S8-F1
P47069	AF-P47069-F1
Q9I9L0	AF-Q9I9L0-F1
Q8L6Y4	AF-Q8L6Y4-F1
P63075	AF-P63075-F1
P02299	1KNA
Q9J3M8	UnFound
Q8IYR0	AF-Q8IYR0-F1
Q9BZG1	AF-Q9BZG1-F1
Q6DHH7	AF-Q6DHH7-F1
Q924U5	AF-Q924U5-F1
Q9JLT4	1ZDL
Q9N658	AF-Q9N658-F1
Q92876	1GVL
Q80T14	UnFound
B2RXV4	AF-B2RXV4-F1
Q99MR6	AF-Q99MR6-F1
Q14BT6	AF-Q14BT6-F1
A1A278	AF-A1A278-F1
Q9UH17	2NBQ
Q9QY76	7X14
A9CQL8	AF-A9CQL8-F1
P87114	AF-P87114-F1
O95757	AF-O95757-F1
Q17604	AF-Q17604-F1
Q78IK2	AF-Q78IK2-F1
P32357	3SBS
Q8R366	AF-Q8R366-F1
Q7ZYQ0	AF-Q7ZYQ0-F1
P84824	UnFound
Q969L4	6V4X
P33228	AF-P33228-F1
P0A698	4DFC
P56383	AF-P56383-F1
O60262	AF-O60262-F1
Q08830	7TZ2
P20181	AF-P20181-F1
O60130	AF-O60130-F1
Q8IVI9	2YUN
Q8N5C8	AF-Q8N5C8-F1
Q96NA2	1YHN
Q9GZL8	AF-Q9GZL8-F1
P23877	AF-P23877-F1
Q9TR36	AF-Q9TR36-F1
Q9XIM0	AF-Q9XIM0-F1
P27815	2QYK
Q7SZC2	AF-Q7SZC2-F1
B7SXM5	AF-B7SXM5-F1
O45784	AF-O45784-F1
Q4QQS8	AF-Q4QQS8-F1
Q9H172	AF-Q9H172-F1
Q0WR66	AF-Q0WR66-F1
F1B281	AF-F1B281-F1
A0A1R3S3A8	AF-A0A1R3S3A8-F1
P38130	AF-P38130-F1
P83673	AF-P83673-F1
P40688	3BRL
Q07528	AF-Q07528-F1
P01097	3ZIA
Q8GXU5	AF-Q8GXU5-F1
P86173	AF-P86173-F1
Q8CD60	AF-Q8CD60-F1
Q9NX58	6ZMI
Q920C1	AF-Q920C1-F1
O74740	AF-O74740-F1
Q5GH67	AF-Q5GH67-F1
Q922L6	AF-Q922L6-F1
O59796	AF-O59796-F1
Q15172	6NTS
P0AB28	AF-P0AB28-F1
Q0P891	3KWO
Q13469	1A02
P49928	1FRY
P9WKB5	AF-P9WKB5-F1
Q5EBA8	AF-Q5EBA8-F1
P9WGE1	AF-P9WGE1-F1
Q9SPU7	AF-Q9SPU7-F1
F4JNB7	AF-F4JNB7-F1
O75147	2CPC
P18760	AF-P18760-F1
Q3SYC2	AF-Q3SYC2-F1
Q9LYW9	AF-Q9LYW9-F1
Q9LJF5	AF-Q9LJF5-F1
Q9H361	2D9P
Q9NY97	6WMM
Q9LIA8	AF-Q9LIA8-F1
Q9LVR0	AF-Q9LVR0-F1
P75959	AF-P75959-F1
Q8GY23	UnFound
P26630	AF-P26630-F1
Q9U2G5	AF-Q9U2G5-F1
Q08999	4XI9
Q96M86	UnFound
Q9VBZ5	AF-Q9VBZ5-F1
P49019	8IHJ
P31755	AF-P31755-F1
D6VTK4	1PJD
Q9BE41	AF-Q9BE41-F1
O34755	AF-O34755-F1
P74102	3MG1
Q9NUN5	AF-Q9NUN5-F1
Q5AJC0	AF-Q5AJC0-F1
Q4KLL0	AF-Q4KLL0-F1
Q8IYH5	2FC7
F4KB79	AF-F4KB79-F1
Q84TD8	AF-Q84TD8-F1
O64896	AF-O64896-F1
Q9N3T5	AF-Q9N3T5-F1
P37128	1VIU
Q95UN8	AF-Q95UN8-F1
Q62160	AF-Q62160-F1
Q9LIR4	5YM0
Q6ZUT1	AF-Q6ZUT1-F1
Q8LC59	AF-Q8LC59-F1
P77495	AF-P77495-F1
Q09948	AF-Q09948-F1
Q54MH8	AF-Q54MH8-F1
A0A348AUW0	AF-A0A348AUW0-F1
Q29551	1M3E
P59226	4FT2
Q8N127	AF-Q8N127-F1
Q96IZ7	AF-Q96IZ7-F1
P15308	7KBF
Q9V7A4	AF-Q9V7A4-F1
W8JIS5	AF-W8JIS5-F1
P32490	AF-P32490-F1
O74856	2P51
Q9LZP8	AF-Q9LZP8-F1
Q9P7R6	AF-Q9P7R6-F1
C0HL03	AF-C0HL03-F1
O75116	4L6Q
P07091	AF-P07091-F1
Q13618	2MYL
Q86YL5	AF-Q86YL5-F1
O95295	AF-O95295-F1
P0ADP9	AF-P0ADP9-F1
P85968	AF-P85968-F1
Q8K1M6	AF-Q8K1M6-F1
P53937	5MRC
Q9NZJ7	AF-Q9NZJ7-F1
Q9FJ10	AF-Q9FJ10-F1
B0V2N1	3SR9
Q4VX76	AF-Q4VX76-F1
Q08271	AF-Q08271-F1
Q52008	AF-Q52008-F1
P47869	AF-P47869-F1
Q3ULW6	AF-Q3ULW6-F1
P06437	2GUM
P00429	1OCC
A7S5D9	AF-A7S5D9-F1
P19117	AF-P19117-F1
Q92ET8	AF-Q92ET8-F1
Q9BUY7	AF-Q9BUY7-F1
Q9VRK8	AF-Q9VRK8-F1
P10592	AF-P10592-F1
P53413	AF-P53413-F1
Q94AF2	AF-Q94AF2-F1
P32526	5N74
Q91YH5	AF-Q91YH5-F1
O75771	2KZ3
Q9LSD6	AF-Q9LSD6-F1
P18066	AF-P18066-F1
Q9JK66	2KNB
Q0JQF7	AF-Q0JQF7-F1
Q8VYN9	AF-Q8VYN9-F1
Q9H0C5	AF-Q9H0C5-F1
Q9UUF7	AF-Q9UUF7-F1
Q8AYD0	3PPE
Q96P88	AF-Q96P88-F1
O15084	AF-O15084-F1
Q3V3F6	AF-Q3V3F6-F1
A9QNE7	AF-A9QNE7-F1
Q8GWQ2	AF-Q8GWQ2-F1
O75593	5XOC
Q04868	4A8J
Q9P3U9	AF-Q9P3U9-F1
Q9R045	AF-Q9R045-F1
O94763	AF-O94763-F1
Q6Q783	4AU7
P51410	6SWA
P54802	4XWH
Q9ESQ9	AF-Q9ESQ9-F1
Q9LVV5	AF-Q9LVV5-F1
Q8L999	AF-Q8L999-F1
Q86UF1	AF-Q86UF1-F1
Q61453	AF-Q61453-F1
Q97QD4	AF-Q97QD4-F1
Q03430	5MRC
Q9Y535	7A6H
G5ECJ6	AF-G5ECJ6-F1
O48849	AF-O48849-F1
P01615	AF-P01615-F1
Q9NRG7	4B4O
O93803	AF-O93803-F1
P0C305	AF-P0C305-F1
Q64093	AF-Q64093-F1
O75223	2I5T
Q96DY5	AF-Q96DY5-F1
O94495	AF-O94495-F1
P32829	AF-P32829-F1
Q8NG99	AF-Q8NG99-F1
P80404	AF-P80404-F1
P84480	AF-P84480-F1
O16881	AF-O16881-F1
Q9CAM7	AF-Q9CAM7-F1
P52871	2WW9
P53042	4JA7
Q7KQJ9	AF-Q7KQJ9-F1
Q7BVH7	AF-Q7BVH7-F1
Q9QYB2	AF-Q9QYB2-F1
Q8K4J2	AF-Q8K4J2-F1
Q80XU3	AF-Q80XU3-F1
Q99496	2H0D
Q9ZPW7	AF-Q9ZPW7-F1
O61742	AF-O61742-F1
Q9DD02	AF-Q9DD02-F1
Q9W5G6	AF-Q9W5G6-F1
Q2R0K3	AF-Q2R0K3-F1
P23709	5LC5
Q9UKM9	1WF1
P29120	AF-P29120-F1
Q84LB6	AF-Q84LB6-F1
Q08726	AF-Q08726-F1
Q9C1W8	AF-Q9C1W8-F1
Q94AK6	AF-Q94AK6-F1
Q9LRB0	AF-Q9LRB0-F1
G5EEM1	AF-G5EEM1-F1
O80874	AF-O80874-F1
P86303	UnFound
O14350	AF-O14350-F1
Q03262	AF-Q03262-F1
Q8ZNR3	2QYU
Q09460	AF-Q09460-F1
Q9SM23	AF-Q9SM23-F1
P11232	AF-P11232-F1
O80507	AF-O80507-F1
H9JW43	5Z34
A0A5F8MPU3	AF-A0A5F8MPU3-F1
P95257	5MTW
P25859	AF-P25859-F1
G5ECL4	AF-G5ECL4-F1
P42003	3DIT
P54313	AF-P54313-F1
Q5MIZ7	AF-Q5MIZ7-F1
Q0P8J8	AF-Q0P8J8-F1
Q6ENF0	AF-Q6ENF0-F1
P13679	AF-P13679-F1
Q4KL71	AF-Q4KL71-F1
P42842	AF-P42842-F1
Q6ENG9	AF-Q6ENG9-F1
P62136	3E7A
Q25BW5	2E3Z
Q6NY64	AF-Q6NY64-F1
P22887	1B4S
A2AH22	AF-A2AH22-F1
P43358	1I4F
A0A5B9	1AO7
O04834	AF-O04834-F1
P46664	AF-P46664-F1
Q15005	7P2P
P75476	AF-P75476-F1
P0DW81	UnFound
Q9I928	AF-Q9I928-F1
Q8GZ87	AF-Q8GZ87-F1
Q9I5I6	3OBB
P25847	AF-P25847-F1
Q9VVD9	AF-Q9VVD9-F1
Q6MWZ7	2A6P
Q8N7C3	AF-Q8N7C3-F1
Q8GZP6	AF-Q8GZP6-F1
O00222	6BSZ
Q9Y3E1	6IIP
Q9H2B2	1UGK
Q59PR9	AF-Q59PR9-F1
Q42598	AF-Q42598-F1
Q80YR5	AF-Q80YR5-F1
Q9P6M2	AF-Q9P6M2-F1
P51532	2GRC
Q9FKV0	AF-Q9FKV0-F1
P18111	AF-P18111-F1
P0CG12	AF-P0CG12-F1
Q9BQ39	2E29
P08753	6MHE
O00187	1Q3X
Q9ULP9	AF-Q9ULP9-F1
Q8TD23	AF-Q8TD23-F1
Q9LS26	AF-Q9LS26-F1
P49657	AF-P49657-F1
Q8NFF2	AF-Q8NFF2-F1
P01589	1Z92
Q8CIW6	AF-Q8CIW6-F1
Q9NF14	AF-Q9NF14-F1
Q09812	AF-Q09812-F1
P98084	AF-P98084-F1
P42891	AF-P42891-F1
Q9WVL5	AF-Q9WVL5-F1
Q8L7R3	AF-Q8L7R3-F1
Q2KMM4	AF-Q2KMM4-F1
P01566	AF-P01566-F1
P79679	UnFound
O23487	AF-O23487-F1
Q9NY93	AF-Q9NY93-F1
Q641G7	AF-Q641G7-F1
Q9R1V3	AF-Q9R1V3-F1
P09016	AF-P09016-F1
Q14916	AF-Q14916-F1
Q5BAS1	6Q7I
Q9V6H2	AF-Q9V6H2-F1
Q9FT53	AF-Q9FT53-F1
A2CEH0	AF-A2CEH0-F1
A0A0G2Q9D6	AF-A0A0G2Q9D6-F1
P31721	AF-P31721-F1
Q96GC5	3J7Y
Q9P260	AF-Q9P260-F1
Q86A77	AF-Q86A77-F1
Q99714	1SO8
Q96QU6	AF-Q96QU6-F1
Q9NX07	2DHG
Q6DEJ6	8D2S
Q9CQV1	AF-Q9CQV1-F1
O43557	4EN0
